attack_id,start,end,sensor,std_ratio
8,2015-12-28 10:00:33,2015-12-28 10:00:33,P101,
8,2015-12-28 10:00:33,2015-12-28 10:00:33,P102,
9,2015-12-28 10:00:37,2015-12-28 10:00:37,FIT101,
9,2015-12-28 10:00:37,2015-12-28 10:00:37,LIT101,
9,2015-12-28 10:00:37,2015-12-28 10:00:37,MV101,
9,2015-12-28 10:00:37,2015-12-28 10:00:37,P101,
9,2015-12-28 10:00:37,2015-12-28 10:00:37,P102,
10,2015-12-28 10:00:46,2015-12-28 10:00:46,FIT101,
10,2015-12-28 10:00:46,2015-12-28 10:00:46,LIT101,
10,2015-12-28 10:00:46,2015-12-28 10:00:46,MV101,
10,2015-12-28 10:00:46,2015-12-28 10:00:46,P101,
10,2015-12-28 10:00:46,2015-12-28 10:00:46,P102,
11,2015-12-28 10:00:49,2015-12-28 10:00:49,FIT101,
11,2015-12-28 10:00:49,2015-12-28 10:00:49,LIT101,
11,2015-12-28 10:00:49,2015-12-28 10:00:49,MV101,
11,2015-12-28 10:00:49,2015-12-28 10:00:49,P101,
11,2015-12-28 10:00:49,2015-12-28 10:00:49,P102,
12,2015-12-28 10:00:56,2015-12-28 10:00:57,FIT502,1.8687
12,2015-12-28 10:00:56,2015-12-28 10:00:57,PIT503,1.7349
12,2015-12-28 10:00:56,2015-12-28 10:00:57,DPIT301,1.4806
12,2015-12-28 10:00:56,2015-12-28 10:00:57,P205,1.4143
12,2015-12-28 10:00:56,2015-12-28 10:00:57,P401,1.4143
13,2015-12-28 10:00:59,2015-12-28 10:00:59,FIT101,
13,2015-12-28 10:00:59,2015-12-28 10:00:59,LIT101,
13,2015-12-28 10:00:59,2015-12-28 10:00:59,MV101,
13,2015-12-28 10:00:59,2015-12-28 10:00:59,P101,
13,2015-12-28 10:00:59,2015-12-28 10:00:59,P102,
14,2015-12-28 10:01:02,2015-12-28 10:01:02,FIT101,
14,2015-12-28 10:01:02,2015-12-28 10:01:02,LIT101,
14,2015-12-28 10:01:02,2015-12-28 10:01:02,MV101,
14,2015-12-28 10:01:02,2015-12-28 10:01:02,P101,
14,2015-12-28 10:01:02,2015-12-28 10:01:02,P102,
15,2015-12-28 10:01:05,2015-12-28 10:01:06,LIT101,1.6228
15,2015-12-28 10:01:05,2015-12-28 10:01:06,AIT203,1.4291
15,2015-12-28 10:01:05,2015-12-28 10:01:06,AIT201,1.4263
15,2015-12-28 10:01:05,2015-12-28 10:01:06,P603,1.4142
15,2015-12-28 10:01:05,2015-12-28 10:01:06,P101,1.4142
16,2015-12-28 10:01:09,2015-12-28 10:01:09,FIT101,
16,2015-12-28 10:01:09,2015-12-28 10:01:09,LIT101,
16,2015-12-28 10:01:09,2015-12-28 10:01:09,MV101,
16,2015-12-28 10:01:09,2015-12-28 10:01:09,P101,
16,2015-12-28 10:01:09,2015-12-28 10:01:09,P102,
17,2015-12-28 10:01:15,2015-12-28 10:01:16,FIT503,1.9324
17,2015-12-28 10:01:15,2015-12-28 10:01:16,LIT301,1.678
17,2015-12-28 10:01:15,2015-12-28 10:01:16,AIT504,1.5734
17,2015-12-28 10:01:15,2015-12-28 10:01:16,FIT301,1.5643
17,2015-12-28 10:01:15,2015-12-28 10:01:16,P203,1.4143
18,2015-12-28 10:01:18,2015-12-28 10:01:18,FIT101,
18,2015-12-28 10:01:18,2015-12-28 10:01:18,LIT101,
18,2015-12-28 10:01:18,2015-12-28 10:01:18,MV101,
18,2015-12-28 10:01:18,2015-12-28 10:01:18,P101,
18,2015-12-28 10:01:18,2015-12-28 10:01:18,P102,
19,2015-12-28 10:01:23,2015-12-28 10:01:23,FIT101,
19,2015-12-28 10:01:23,2015-12-28 10:01:23,LIT101,
19,2015-12-28 10:01:23,2015-12-28 10:01:23,MV101,
19,2015-12-28 10:01:23,2015-12-28 10:01:23,P101,
19,2015-12-28 10:01:23,2015-12-28 10:01:23,P102,
20,2015-12-28 10:01:25,2015-12-28 10:01:26,LIT101,1.7096
20,2015-12-28 10:01:25,2015-12-28 10:01:26,FIT502,1.7043
20,2015-12-28 10:01:25,2015-12-28 10:01:26,FIT201,1.5287
20,2015-12-28 10:01:25,2015-12-28 10:01:26,P203,1.4143
20,2015-12-28 10:01:25,2015-12-28 10:01:26,P401,1.4143
21,2015-12-28 10:01:30,2015-12-28 10:01:30,FIT101,
21,2015-12-28 10:01:30,2015-12-28 10:01:30,LIT101,
21,2015-12-28 10:01:30,2015-12-28 10:01:30,MV101,
21,2015-12-28 10:01:30,2015-12-28 10:01:30,P101,
21,2015-12-28 10:01:30,2015-12-28 10:01:30,P102,
22,2015-12-28 10:01:36,2015-12-28 10:01:36,FIT101,
22,2015-12-28 10:01:36,2015-12-28 10:01:36,LIT101,
22,2015-12-28 10:01:36,2015-12-28 10:01:36,MV101,
22,2015-12-28 10:01:36,2015-12-28 10:01:36,P101,
22,2015-12-28 10:01:36,2015-12-28 10:01:36,P102,
23,2015-12-28 10:01:39,2015-12-28 10:01:39,FIT101,
23,2015-12-28 10:01:39,2015-12-28 10:01:39,LIT101,
23,2015-12-28 10:01:39,2015-12-28 10:01:39,MV101,
23,2015-12-28 10:01:39,2015-12-28 10:01:39,P101,
23,2015-12-28 10:01:39,2015-12-28 10:01:39,P102,
24,2015-12-28 10:01:48,2015-12-28 10:01:48,FIT101,
24,2015-12-28 10:01:48,2015-12-28 10:01:48,LIT101,
24,2015-12-28 10:01:48,2015-12-28 10:01:48,MV101,
24,2015-12-28 10:01:48,2015-12-28 10:01:48,P101,
24,2015-12-28 10:01:48,2015-12-28 10:01:48,P102,
25,2015-12-28 10:01:52,2015-12-28 10:01:52,FIT101,
25,2015-12-28 10:01:52,2015-12-28 10:01:52,LIT101,
25,2015-12-28 10:01:52,2015-12-28 10:01:52,MV101,
25,2015-12-28 10:01:52,2015-12-28 10:01:52,P101,
25,2015-12-28 10:01:52,2015-12-28 10:01:52,P102,
26,2015-12-28 10:01:54,2015-12-28 10:01:54,FIT101,
26,2015-12-28 10:01:54,2015-12-28 10:01:54,LIT101,
26,2015-12-28 10:01:54,2015-12-28 10:01:54,MV101,
26,2015-12-28 10:01:54,2015-12-28 10:01:54,P101,
26,2015-12-28 10:01:54,2015-12-28 10:01:54,P102,
27,2015-12-28 10:01:56,2015-12-28 10:01:56,FIT101,
27,2015-12-28 10:01:56,2015-12-28 10:01:56,LIT101,
27,2015-12-28 10:01:56,2015-12-28 10:01:56,MV101,
27,2015-12-28 10:01:56,2015-12-28 10:01:56,P101,
27,2015-12-28 10:01:56,2015-12-28 10:01:56,P102,
28,2015-12-28 10:01:58,2015-12-28 10:01:58,FIT101,
28,2015-12-28 10:01:58,2015-12-28 10:01:58,LIT101,
28,2015-12-28 10:01:58,2015-12-28 10:01:58,MV101,
28,2015-12-28 10:01:58,2015-12-28 10:01:58,P101,
28,2015-12-28 10:01:58,2015-12-28 10:01:58,P102,
29,2015-12-28 10:02:02,2015-12-28 10:02:02,FIT101,
29,2015-12-28 10:02:02,2015-12-28 10:02:02,LIT101,
29,2015-12-28 10:02:02,2015-12-28 10:02:02,MV101,
29,2015-12-28 10:02:02,2015-12-28 10:02:02,P101,
29,2015-12-28 10:02:02,2015-12-28 10:02:02,P102,
30,2015-12-28 10:02:07,2015-12-28 10:02:10,FIT201,1.4867
30,2015-12-28 10:02:07,2015-12-28 10:02:10,AIT503,1.3489
30,2015-12-28 10:02:07,2015-12-28 10:02:10,AIT502,1.3337
30,2015-12-28 10:02:07,2015-12-28 10:02:10,FIT504,1.2801
30,2015-12-28 10:02:07,2015-12-28 10:02:10,AIT201,1.2062
31,2015-12-28 10:02:14,2015-12-28 10:02:14,FIT101,
31,2015-12-28 10:02:14,2015-12-28 10:02:14,LIT101,
31,2015-12-28 10:02:14,2015-12-28 10:02:14,MV101,
31,2015-12-28 10:02:14,2015-12-28 10:02:14,P101,
31,2015-12-28 10:02:14,2015-12-28 10:02:14,P102,
32,2015-12-28 10:02:16,2015-12-28 10:02:17,AIT202,2.0469
32,2015-12-28 10:02:16,2015-12-28 10:02:17,PIT501,1.7174
32,2015-12-28 10:02:16,2015-12-28 10:02:17,FIT502,1.4963
32,2015-12-28 10:02:16,2015-12-28 10:02:17,FIT503,1.4733
32,2015-12-28 10:02:16,2015-12-28 10:02:17,P203,1.4143
33,2015-12-28 10:02:19,2015-12-28 10:02:19,FIT101,
33,2015-12-28 10:02:19,2015-12-28 10:02:19,LIT101,
33,2015-12-28 10:02:19,2015-12-28 10:02:19,MV101,
33,2015-12-28 10:02:19,2015-12-28 10:02:19,P101,
33,2015-12-28 10:02:19,2015-12-28 10:02:19,P102,
34,2015-12-28 10:02:23,2015-12-28 10:02:23,FIT101,
34,2015-12-28 10:02:23,2015-12-28 10:02:23,LIT101,
34,2015-12-28 10:02:23,2015-12-28 10:02:23,MV101,
34,2015-12-28 10:02:23,2015-12-28 10:02:23,P101,
34,2015-12-28 10:02:23,2015-12-28 10:02:23,P102,
35,2015-12-28 10:02:27,2015-12-28 10:02:28,AIT401,1.8336
35,2015-12-28 10:02:27,2015-12-28 10:02:28,PIT503,1.7802
35,2015-12-28 10:02:27,2015-12-28 10:02:28,P203,1.4143
35,2015-12-28 10:02:27,2015-12-28 10:02:28,P205,1.4143
35,2015-12-28 10:02:27,2015-12-28 10:02:28,P302,1.4142
36,2015-12-28 10:02:35,2015-12-28 10:02:35,FIT101,
36,2015-12-28 10:02:35,2015-12-28 10:02:35,LIT101,
36,2015-12-28 10:02:35,2015-12-28 10:02:35,MV101,
36,2015-12-28 10:02:35,2015-12-28 10:02:35,P101,
36,2015-12-28 10:02:35,2015-12-28 10:02:35,P102,
37,2015-12-28 10:02:39,2015-12-28 10:02:42,FIT601,1.5775
37,2015-12-28 10:02:39,2015-12-28 10:02:42,AIT402,1.4477
37,2015-12-28 10:02:39,2015-12-28 10:02:42,LIT301,1.4011
37,2015-12-28 10:02:39,2015-12-28 10:02:42,AIT504,1.3619
37,2015-12-28 10:02:39,2015-12-28 10:02:42,AIT201,1.3421
38,2015-12-28 10:02:49,2015-12-28 10:02:49,FIT101,
38,2015-12-28 10:02:49,2015-12-28 10:02:49,LIT101,
38,2015-12-28 10:02:49,2015-12-28 10:02:49,MV101,
38,2015-12-28 10:02:49,2015-12-28 10:02:49,P101,
38,2015-12-28 10:02:49,2015-12-28 10:02:49,P102,
39,2015-12-28 10:02:53,2015-12-28 10:02:53,FIT101,
39,2015-12-28 10:02:53,2015-12-28 10:02:53,LIT101,
39,2015-12-28 10:02:53,2015-12-28 10:02:53,MV101,
39,2015-12-28 10:02:53,2015-12-28 10:02:53,P101,
39,2015-12-28 10:02:53,2015-12-28 10:02:53,P102,
40,2015-12-28 10:03:03,2015-12-28 10:03:03,FIT101,
40,2015-12-28 10:03:03,2015-12-28 10:03:03,LIT101,
40,2015-12-28 10:03:03,2015-12-28 10:03:03,MV101,
40,2015-12-28 10:03:03,2015-12-28 10:03:03,P101,
40,2015-12-28 10:03:03,2015-12-28 10:03:03,P102,
41,2015-12-28 10:03:06,2015-12-28 10:03:07,FIT301,1.6333
41,2015-12-28 10:03:06,2015-12-28 10:03:07,P205,1.4143
41,2015-12-28 10:03:06,2015-12-28 10:03:07,P302,1.4142
41,2015-12-28 10:03:06,2015-12-28 10:03:07,P603,1.4142
41,2015-12-28 10:03:06,2015-12-28 10:03:07,MV303,1.4142
42,2015-12-28 10:03:15,2015-12-28 10:03:15,FIT101,
42,2015-12-28 10:03:15,2015-12-28 10:03:15,LIT101,
42,2015-12-28 10:03:15,2015-12-28 10:03:15,MV101,
42,2015-12-28 10:03:15,2015-12-28 10:03:15,P101,
42,2015-12-28 10:03:15,2015-12-28 10:03:15,P102,
43,2015-12-28 10:03:20,2015-12-28 10:03:20,FIT101,
43,2015-12-28 10:03:20,2015-12-28 10:03:20,LIT101,
43,2015-12-28 10:03:20,2015-12-28 10:03:20,MV101,
43,2015-12-28 10:03:20,2015-12-28 10:03:20,P101,
43,2015-12-28 10:03:20,2015-12-28 10:03:20,P102,
44,2015-12-28 10:03:22,2015-12-28 10:03:24,FIT601,1.8107
44,2015-12-28 10:03:22,2015-12-28 10:03:24,PIT502,1.7227
44,2015-12-28 10:03:22,2015-12-28 10:03:24,FIT401,1.4802
44,2015-12-28 10:03:22,2015-12-28 10:03:24,AIT202,1.3302
44,2015-12-28 10:03:22,2015-12-28 10:03:24,LIT401,1.2136
45,2015-12-28 10:03:29,2015-12-28 10:03:31,FIT502,1.6508
45,2015-12-28 10:03:29,2015-12-28 10:03:31,AIT503,1.5654
45,2015-12-28 10:03:29,2015-12-28 10:03:31,FIT401,1.4959
45,2015-12-28 10:03:29,2015-12-28 10:03:31,PIT502,1.4518
45,2015-12-28 10:03:29,2015-12-28 10:03:31,PIT503,1.426
46,2015-12-28 10:03:41,2015-12-28 10:03:41,FIT101,
46,2015-12-28 10:03:41,2015-12-28 10:03:41,LIT101,
46,2015-12-28 10:03:41,2015-12-28 10:03:41,MV101,
46,2015-12-28 10:03:41,2015-12-28 10:03:41,P101,
46,2015-12-28 10:03:41,2015-12-28 10:03:41,P102,
47,2015-12-28 10:03:45,2015-12-28 10:03:45,FIT101,
47,2015-12-28 10:03:45,2015-12-28 10:03:45,LIT101,
47,2015-12-28 10:03:45,2015-12-28 10:03:45,MV101,
47,2015-12-28 10:03:45,2015-12-28 10:03:45,P101,
47,2015-12-28 10:03:45,2015-12-28 10:03:45,P102,
48,2015-12-28 10:03:49,2015-12-28 10:03:49,FIT101,
48,2015-12-28 10:03:49,2015-12-28 10:03:49,LIT101,
48,2015-12-28 10:03:49,2015-12-28 10:03:49,MV101,
48,2015-12-28 10:03:49,2015-12-28 10:03:49,P101,
48,2015-12-28 10:03:49,2015-12-28 10:03:49,P102,
49,2015-12-28 10:03:53,2015-12-28 10:03:53,FIT101,
49,2015-12-28 10:03:53,2015-12-28 10:03:53,LIT101,
49,2015-12-28 10:03:53,2015-12-28 10:03:53,MV101,
49,2015-12-28 10:03:53,2015-12-28 10:03:53,P101,
49,2015-12-28 10:03:53,2015-12-28 10:03:53,P102,
50,2015-12-28 10:03:55,2015-12-28 10:03:56,AIT502,1.7072
50,2015-12-28 10:03:55,2015-12-28 10:03:56,AIT201,1.6228
50,2015-12-28 10:03:55,2015-12-28 10:03:56,LIT101,1.4848
50,2015-12-28 10:03:55,2015-12-28 10:03:56,FIT501,1.4379
50,2015-12-28 10:03:55,2015-12-28 10:03:56,P205,1.4143
51,2015-12-28 10:04:09,2015-12-28 10:04:09,FIT101,
51,2015-12-28 10:04:09,2015-12-28 10:04:09,LIT101,
51,2015-12-28 10:04:09,2015-12-28 10:04:09,MV101,
51,2015-12-28 10:04:09,2015-12-28 10:04:09,P101,
51,2015-12-28 10:04:09,2015-12-28 10:04:09,P102,
52,2015-12-28 10:04:16,2015-12-28 10:04:16,FIT101,
52,2015-12-28 10:04:16,2015-12-28 10:04:16,LIT101,
52,2015-12-28 10:04:16,2015-12-28 10:04:16,MV101,
52,2015-12-28 10:04:16,2015-12-28 10:04:16,P101,
52,2015-12-28 10:04:16,2015-12-28 10:04:16,P102,
53,2015-12-28 10:04:18,2015-12-28 10:04:18,FIT101,
53,2015-12-28 10:04:18,2015-12-28 10:04:18,LIT101,
53,2015-12-28 10:04:18,2015-12-28 10:04:18,MV101,
53,2015-12-28 10:04:18,2015-12-28 10:04:18,P101,
53,2015-12-28 10:04:18,2015-12-28 10:04:18,P102,
54,2015-12-28 10:04:26,2015-12-28 10:04:26,FIT101,
54,2015-12-28 10:04:26,2015-12-28 10:04:26,LIT101,
54,2015-12-28 10:04:26,2015-12-28 10:04:26,MV101,
54,2015-12-28 10:04:26,2015-12-28 10:04:26,P101,
54,2015-12-28 10:04:26,2015-12-28 10:04:26,P102,
55,2015-12-28 10:04:31,2015-12-28 10:04:31,FIT101,
55,2015-12-28 10:04:31,2015-12-28 10:04:31,LIT101,
55,2015-12-28 10:04:31,2015-12-28 10:04:31,MV101,
55,2015-12-28 10:04:31,2015-12-28 10:04:31,P101,
55,2015-12-28 10:04:31,2015-12-28 10:04:31,P102,
56,2015-12-28 10:04:33,2015-12-28 10:04:33,FIT101,
56,2015-12-28 10:04:33,2015-12-28 10:04:33,LIT101,
56,2015-12-28 10:04:33,2015-12-28 10:04:33,MV101,
56,2015-12-28 10:04:33,2015-12-28 10:04:33,P101,
56,2015-12-28 10:04:33,2015-12-28 10:04:33,P102,
57,2015-12-28 10:04:36,2015-12-28 10:04:36,FIT101,
57,2015-12-28 10:04:36,2015-12-28 10:04:36,LIT101,
57,2015-12-28 10:04:36,2015-12-28 10:04:36,MV101,
57,2015-12-28 10:04:36,2015-12-28 10:04:36,P101,
57,2015-12-28 10:04:36,2015-12-28 10:04:36,P102,
58,2015-12-28 10:04:38,2015-12-28 10:04:39,AIT502,1.8697
58,2015-12-28 10:04:38,2015-12-28 10:04:39,FIT201,1.7823
58,2015-12-28 10:04:38,2015-12-28 10:04:39,PIT502,1.7821
58,2015-12-28 10:04:38,2015-12-28 10:04:39,AIT202,1.6384
58,2015-12-28 10:04:38,2015-12-28 10:04:39,P404,1.4142
59,2015-12-28 10:04:44,2015-12-28 10:04:46,DPIT301,1.7256
59,2015-12-28 10:04:44,2015-12-28 10:04:46,PIT501,1.4432
59,2015-12-28 10:04:44,2015-12-28 10:04:46,AIT401,1.3753
59,2015-12-28 10:04:44,2015-12-28 10:04:46,AIT402,1.3288
59,2015-12-28 10:04:44,2015-12-28 10:04:46,LIT301,1.3105
60,2015-12-28 10:04:51,2015-12-28 10:04:51,FIT101,
60,2015-12-28 10:04:51,2015-12-28 10:04:51,LIT101,
60,2015-12-28 10:04:51,2015-12-28 10:04:51,MV101,
60,2015-12-28 10:04:51,2015-12-28 10:04:51,P101,
60,2015-12-28 10:04:51,2015-12-28 10:04:51,P102,
61,2015-12-28 10:04:54,2015-12-28 10:04:54,FIT101,
61,2015-12-28 10:04:54,2015-12-28 10:04:54,LIT101,
61,2015-12-28 10:04:54,2015-12-28 10:04:54,MV101,
61,2015-12-28 10:04:54,2015-12-28 10:04:54,P101,
61,2015-12-28 10:04:54,2015-12-28 10:04:54,P102,
62,2015-12-28 10:05:05,2015-12-28 10:05:05,FIT101,
62,2015-12-28 10:05:05,2015-12-28 10:05:05,LIT101,
62,2015-12-28 10:05:05,2015-12-28 10:05:05,MV101,
62,2015-12-28 10:05:05,2015-12-28 10:05:05,P101,
62,2015-12-28 10:05:05,2015-12-28 10:05:05,P102,
63,2015-12-28 10:05:08,2015-12-28 10:05:09,AIT203,2.2882
63,2015-12-28 10:05:08,2015-12-28 10:05:09,PIT501,2.0033
63,2015-12-28 10:05:08,2015-12-28 10:05:09,FIT101,1.9633
63,2015-12-28 10:05:08,2015-12-28 10:05:09,AIT504,1.8302
63,2015-12-28 10:05:08,2015-12-28 10:05:09,FIT503,1.7097
64,2015-12-28 10:05:12,2015-12-28 10:05:12,FIT101,
64,2015-12-28 10:05:12,2015-12-28 10:05:12,LIT101,
64,2015-12-28 10:05:12,2015-12-28 10:05:12,MV101,
64,2015-12-28 10:05:12,2015-12-28 10:05:12,P101,
64,2015-12-28 10:05:12,2015-12-28 10:05:12,P102,
65,2015-12-28 10:05:15,2015-12-28 10:05:15,FIT101,
65,2015-12-28 10:05:15,2015-12-28 10:05:15,LIT101,
65,2015-12-28 10:05:15,2015-12-28 10:05:15,MV101,
65,2015-12-28 10:05:15,2015-12-28 10:05:15,P101,
65,2015-12-28 10:05:15,2015-12-28 10:05:15,P102,
66,2015-12-28 10:05:18,2015-12-28 10:05:18,FIT101,
66,2015-12-28 10:05:18,2015-12-28 10:05:18,LIT101,
66,2015-12-28 10:05:18,2015-12-28 10:05:18,MV101,
66,2015-12-28 10:05:18,2015-12-28 10:05:18,P101,
66,2015-12-28 10:05:18,2015-12-28 10:05:18,P102,
67,2015-12-28 10:05:21,2015-12-28 10:05:22,AIT401,2.0933
67,2015-12-28 10:05:21,2015-12-28 10:05:22,P205,1.4143
67,2015-12-28 10:05:21,2015-12-28 10:05:22,P101,1.4142
67,2015-12-28 10:05:21,2015-12-28 10:05:22,MV304,1.4142
67,2015-12-28 10:05:21,2015-12-28 10:05:22,MV302,1.4142
68,2015-12-28 10:05:25,2015-12-28 10:05:27,LIT101,1.5871
68,2015-12-28 10:05:25,2015-12-28 10:05:27,PIT502,1.534
68,2015-12-28 10:05:25,2015-12-28 10:05:27,AIT201,1.4943
68,2015-12-28 10:05:25,2015-12-28 10:05:27,FIT502,1.4572
68,2015-12-28 10:05:25,2015-12-28 10:05:27,FIT504,1.3034
69,2015-12-28 10:05:29,2015-12-28 10:05:29,FIT101,
69,2015-12-28 10:05:29,2015-12-28 10:05:29,LIT101,
69,2015-12-28 10:05:29,2015-12-28 10:05:29,MV101,
69,2015-12-28 10:05:29,2015-12-28 10:05:29,P101,
69,2015-12-28 10:05:29,2015-12-28 10:05:29,P102,
70,2015-12-28 10:05:33,2015-12-28 10:05:35,AIT202,1.8736
70,2015-12-28 10:05:33,2015-12-28 10:05:35,FIT504,1.6877
70,2015-12-28 10:05:33,2015-12-28 10:05:35,AIT402,1.575
70,2015-12-28 10:05:33,2015-12-28 10:05:35,PIT502,1.3642
70,2015-12-28 10:05:33,2015-12-28 10:05:35,FIT101,1.2995
71,2015-12-28 10:05:38,2015-12-28 10:05:39,LIT301,2.3097
71,2015-12-28 10:05:38,2015-12-28 10:05:39,AIT503,1.5321
71,2015-12-28 10:05:38,2015-12-28 10:05:39,PIT501,1.5301
71,2015-12-28 10:05:38,2015-12-28 10:05:39,P203,1.4143
71,2015-12-28 10:05:38,2015-12-28 10:05:39,P205,1.4143
72,2015-12-28 10:05:45,2015-12-28 10:05:45,FIT101,
72,2015-12-28 10:05:45,2015-12-28 10:05:45,LIT101,
72,2015-12-28 10:05:45,2015-12-28 10:05:45,MV101,
72,2015-12-28 10:05:45,2015-12-28 10:05:45,P101,
72,2015-12-28 10:05:45,2015-12-28 10:05:45,P102,
73,2015-12-28 10:05:48,2015-12-28 10:05:49,AIT503,2.1927
73,2015-12-28 10:05:48,2015-12-28 10:05:49,LIT301,1.7476
73,2015-12-28 10:05:48,2015-12-28 10:05:49,P203,1.4143
73,2015-12-28 10:05:48,2015-12-28 10:05:49,P205,1.4143
73,2015-12-28 10:05:48,2015-12-28 10:05:49,P302,1.4142
74,2015-12-28 10:05:53,2015-12-28 10:05:53,FIT101,
74,2015-12-28 10:05:53,2015-12-28 10:05:53,LIT101,
74,2015-12-28 10:05:53,2015-12-28 10:05:53,MV101,
74,2015-12-28 10:05:53,2015-12-28 10:05:53,P101,
74,2015-12-28 10:05:53,2015-12-28 10:05:53,P102,
75,2015-12-28 10:05:59,2015-12-28 10:05:59,FIT101,
75,2015-12-28 10:05:59,2015-12-28 10:05:59,LIT101,
75,2015-12-28 10:05:59,2015-12-28 10:05:59,MV101,
75,2015-12-28 10:05:59,2015-12-28 10:05:59,P101,
75,2015-12-28 10:05:59,2015-12-28 10:05:59,P102,
76,2015-12-28 10:06:01,2015-12-28 10:06:01,FIT101,
76,2015-12-28 10:06:01,2015-12-28 10:06:01,LIT101,
76,2015-12-28 10:06:01,2015-12-28 10:06:01,MV101,
76,2015-12-28 10:06:01,2015-12-28 10:06:01,P101,
76,2015-12-28 10:06:01,2015-12-28 10:06:01,P102,
77,2015-12-28 10:06:06,2015-12-28 10:06:06,FIT101,
77,2015-12-28 10:06:06,2015-12-28 10:06:06,LIT101,
77,2015-12-28 10:06:06,2015-12-28 10:06:06,MV101,
77,2015-12-28 10:06:06,2015-12-28 10:06:06,P101,
77,2015-12-28 10:06:06,2015-12-28 10:06:06,P102,
78,2015-12-28 10:06:08,2015-12-28 10:06:08,FIT101,
78,2015-12-28 10:06:08,2015-12-28 10:06:08,LIT101,
78,2015-12-28 10:06:08,2015-12-28 10:06:08,MV101,
78,2015-12-28 10:06:08,2015-12-28 10:06:08,P101,
78,2015-12-28 10:06:08,2015-12-28 10:06:08,P102,
79,2015-12-28 10:06:20,2015-12-28 10:06:20,FIT101,
79,2015-12-28 10:06:20,2015-12-28 10:06:20,LIT101,
79,2015-12-28 10:06:20,2015-12-28 10:06:20,MV101,
79,2015-12-28 10:06:20,2015-12-28 10:06:20,P101,
79,2015-12-28 10:06:20,2015-12-28 10:06:20,P102,
80,2015-12-28 10:06:26,2015-12-28 10:06:26,FIT101,
80,2015-12-28 10:06:26,2015-12-28 10:06:26,LIT101,
80,2015-12-28 10:06:26,2015-12-28 10:06:26,MV101,
80,2015-12-28 10:06:26,2015-12-28 10:06:26,P101,
80,2015-12-28 10:06:26,2015-12-28 10:06:26,P102,
81,2015-12-28 10:06:30,2015-12-28 10:06:31,PIT501,1.7934
81,2015-12-28 10:06:30,2015-12-28 10:06:31,P203,1.4143
81,2015-12-28 10:06:30,2015-12-28 10:06:31,P205,1.4143
81,2015-12-28 10:06:30,2015-12-28 10:06:31,P401,1.4143
81,2015-12-28 10:06:30,2015-12-28 10:06:31,P206,1.4142
82,2015-12-28 10:06:34,2015-12-28 10:06:34,FIT101,
82,2015-12-28 10:06:34,2015-12-28 10:06:34,LIT101,
